TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-12,2024-12-12,FO,NSE,IDO,46079,,NIFTY,,2024-12-12,2024-12-12,23800.0,CE,NIFTY24D1223800CE,830.55,865.0,740.0,750.95,748.0,839.7,24548.7,24548.7,23625,-24650,2937,1805265197.5,1150,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,46312,,NIFTY,,2025-01-30,2025-01-30,23800.0,CE,NIFTY25JAN23800CE,1260.0,1260.0,1161.25,1169.5,1182.3,1229.0,24548.7,1169.5,12675,-450,41,25597735.0,12,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,42129,,NIFTY,,2025-12-24,2025-12-24,31000.0,CE,NIFTY25DEC31000CE,135.05,138.0,134.0,134.0,134.0,140.0,24548.7,211.55,7475,50,4,3113551.25,4,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,64707,,NIFTY,,2025-09-25,2025-09-25,31000.0,PE,NIFTY25SEP31000PE,0.0,0.0,0.0,3384.5,0.0,3384.5,24548.7,4943.85,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,67796,,NIFTY,,2028-12-28,2028-12-28,31000.0,CE,NIFTY28DEC31000CE,0.0,0.0,0.0,2968.35,0.0,2968.35,24548.7,3119.4,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,42144,,NIFTY,,2027-12-30,2027-12-30,31000.0,CE,NIFTY27DEC31000CE,0.0,0.0,0.0,1546.6,0.0,1546.6,24548.7,2020.7,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,89644,,NIFTY,,2029-06-28,2029-06-28,31000.0,CE,NIFTY29JUN31000CE,0.0,0.0,0.0,4882.55,0.0,4882.55,24548.7,3679.3,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,42143,,NIFTY,,2027-06-24,2027-06-24,31000.0,PE,NIFTY27JUN31000PE,0.0,0.0,0.0,4436.25,0.0,4436.25,24548.7,3059.2,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,42155,,NIFTY,,2028-06-29,2028-06-29,31000.0,CE,NIFTY28JUN31000CE,0.0,0.0,0.0,1955.45,0.0,1955.45,24548.7,2564.5,0,0,0,0.0,0,F1,25,,,,,
2024-12-12,2024-12-12,FO,NSE,IDO,42125,,NIFTY,,2025-06-26,2025-06-26,31000.0,CE,NIFTY25JUN31000CE,0.0,0.0,0.0,104.1,0.0,104.1,24548.7,23.95,0,0,0,0.0,0,F1,25,,,,,
