TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-21,2025-02-21,FO,NSE,IDO,45635,,NIFTY,,2025-03-13,2025-03-13,24900.0,PE,NIFTY2531324900PE,1983.9,1983.9,1983.9,1983.9,1983.9,1239.1,22795.9,1983.9,75,75,1,2016292.5,1,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45545,,NIFTY,,2025-03-13,2025-03-13,23850.0,PE,NIFTY2531323850PE,959.15,959.15,959.15,959.15,959.15,514.0,22795.9,999.6,75,75,1,1860686.25,1,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45537,,NIFTY,,2025-03-13,2025-03-13,23650.0,PE,NIFTY2531323650PE,783.75,783.75,783.75,783.75,783.75,414.05,22795.9,822.65,75,75,1,1832531.25,1,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45535,,NIFTY,,2025-03-13,2025-03-13,23600.0,PE,NIFTY2531323600PE,743.65,743.65,743.65,743.65,743.65,430.0,22795.9,780.15,150,75,1,1825773.75,1,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45520,,NIFTY,,2025-03-13,2025-03-13,23300.0,PE,NIFTY2531323300PE,456.3,566.9,444.4,517.3,521.15,444.6,22795.9,517.3,10125,6300,389,694711800.0,302,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45481,,NIFTY,,2025-03-13,2025-03-13,22800.0,PE,NIFTY2531322800PE,225.05,274.1,202.0,244.5,249.85,205.15,22795.9,244.5,31200,14700,1508,2606193461.25,1164,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45475,,NIFTY,,2025-03-13,2025-03-13,22650.0,PE,NIFTY2531322650PE,162.0,214.3,156.05,188.7,189.05,157.05,22795.9,188.7,6900,6375,202,345917036.25,113,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,45457,,NIFTY,,2025-03-13,2025-03-13,22250.0,PE,NIFTY2531322250PE,74.75,74.75,70.8,70.8,70.8,109.05,22795.9,71.0,675,75,2,3348416.25,2,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,68723,,NIFTY,,2025-03-06,2025-03-06,25300.0,PE,NIFTY2530625300PE,2406.6,2406.6,2406.6,2406.6,2406.6,2205.0,22795.9,2445.6,150,75,1,2077995.0,1,F1,75,,,,,
2025-02-21,2025-02-21,FO,NSE,IDO,68636,,NIFTY,,2025-03-06,2025-03-06,24850.0,PE,NIFTY2530624850PE,1969.55,1969.55,1969.55,1969.55,1969.55,1758.9,22795.9,1969.55,450,75,1,2011466.25,1,F1,75,,,,,
