TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-29,2025-04-29,FO,NSE,IDO,46340,,NIFTY,,2025-05-15,2025-05-15,26100.0,CE,NIFTY2551526100CE,7.45,8.8,4.85,5.45,7.95,6.7,24335.95,5.45,65775,39675,1453,2844927746.25,564,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,49145,,NIFTY,,2025-05-22,2025-05-22,23400.0,CE,NIFTY2552223400CE,0.0,0.0,0.0,823.65,0.0,823.65,24335.95,1112.95,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,49156,,NIFTY,,2025-05-22,2025-05-22,23650.0,CE,NIFTY2552223650CE,0.0,0.0,0.0,663.7,0.0,663.7,24335.95,911.95,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,49226,,NIFTY,,2025-05-22,2025-05-22,24850.0,CE,NIFTY2552224850CE,0.0,0.0,0.0,173.95,0.0,173.95,24335.95,242.35,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,49258,,NIFTY,,2025-05-22,2025-05-22,25100.0,CE,NIFTY2552225100CE,0.0,0.0,0.0,123.05,0.0,123.05,24335.95,168.45,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,49291,,NIFTY,,2025-05-22,2025-05-22,25400.0,CE,NIFTY2552225400CE,75.0,80.7,55.05,56.85,56.6,59.9,24335.95,56.85,6525,-75,97,185248245.0,61,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61353,,NIFTY,,2025-05-29,2025-05-29,20950.0,CE,NIFTY25MAY20950CE,0.0,0.0,0.0,3289.45,3289.45,3289.45,24335.95,3496.95,1650,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61355,,NIFTY,,2025-05-29,2025-05-29,21000.0,CE,NIFTY25MAY21000CE,3540.0,3557.0,3411.0,3423.7,3422.1,3441.15,24335.95,3423.7,533325,-8475,266,488535948.75,192,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61360,,NIFTY,,2025-05-29,2025-05-29,21100.0,CE,NIFTY25MAY21100CE,0.0,0.0,0.0,3092.95,3092.95,3092.95,24335.95,3347.9,3000,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,46194,,NIFTY,,2025-05-15,2025-05-15,23050.0,CE,NIFTY2551523050CE,1388.55,1389.05,1388.55,1388.85,1388.95,1212.2,24335.95,1388.85,450,225,3,5498741.25,3,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,46172,,NIFTY,,2025-05-15,2025-05-15,22700.0,CE,NIFTY2551522700CE,0.0,0.0,0.0,1500.6,1500.6,1500.6,24335.95,1706.45,75,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,46143,,NIFTY,,2025-05-15,2025-05-15,22050.0,CE,NIFTY2551522050CE,0.0,0.0,0.0,2088.75,2088.75,2088.75,24335.95,2348.75,75,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,46120,,NIFTY,,2025-05-15,2025-05-15,21550.0,CE,NIFTY2551521550CE,0.0,0.0,0.0,2595.95,2595.95,2595.95,24335.95,2846.85,75,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38670,,NIFTY,,2025-05-08,2025-05-08,25750.0,CE,NIFTY2550825750CE,4.35,4.9,2.55,2.9,2.55,4.05,24335.95,2.9,150300,90750,5569,10756768983.75,2620,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38660,,NIFTY,,2025-05-08,2025-05-08,25550.0,CE,NIFTY2550825550CE,7.05,9.25,4.3,4.7,4.3,6.3,24335.95,4.7,105900,33975,5000,9583653855.0,2849,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38634,,NIFTY,,2025-05-08,2025-05-08,24900.0,CE,NIFTY2550824900CE,66.35,79.7,41.4,43.05,43.6,60.15,24335.95,43.05,702525,365925,46691,87400419693.75,26644,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38629,,NIFTY,,2025-05-08,2025-05-08,24800.0,CE,NIFTY2550824800CE,84.0,106.35,58.65,60.9,60.4,81.8,24335.95,60.9,1411425,331050,109896,205075594320.0,56589,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38592,,NIFTY,,2025-05-08,2025-05-08,24050.0,CE,NIFTY2550824050CE,479.0,535.6,416.15,426.5,426.55,460.5,24335.95,426.5,44175,-6675,1117,2053424857.5,942,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38586,,NIFTY,,2025-05-08,2025-05-08,23950.0,CE,NIFTY2550823950CE,581.05,617.3,494.3,500.65,504.45,537.75,24335.95,500.65,50850,-6975,561,1029850447.5,462,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38564,,NIFTY,,2025-05-08,2025-05-08,23600.0,CE,NIFTY2550823600CE,901.95,929.9,796.0,805.4,806.0,837.95,24335.95,805.4,74775,38850,752,1377903941.25,344,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38542,,NIFTY,,2025-05-08,2025-05-08,23300.0,CE,NIFTY2550823300CE,1200.0,1210.0,1070.45,1077.35,1084.0,1115.35,24335.95,1077.35,52200,26175,443,811005315.0,165,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38514,,NIFTY,,2025-05-08,2025-05-08,22850.0,CE,NIFTY2550822850CE,1605.0,1615.0,1525.95,1531.35,1531.35,1487.35,24335.95,1523.85,1050,375,11,20128672.5,7,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38506,,NIFTY,,2025-05-08,2025-05-08,22700.0,CE,NIFTY2550822700CE,1770.95,1777.0,1660.0,1675.95,1675.95,1683.0,24335.95,1672.75,9450,2400,33,60398013.75,20,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38486,,NIFTY,,2025-05-08,2025-05-08,22300.0,CE,NIFTY2550822300CE,2160.0,2160.0,2048.65,2051.0,2048.65,2035.0,24335.95,2051.0,9000,8025,244,445824933.75,46,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38482,,NIFTY,,2025-05-08,2025-05-08,22200.0,CE,NIFTY2550822200CE,2168.0,2170.0,2136.0,2170.0,2170.0,1886.4,24335.95,2171.3,1725,1200,22,40190092.5,17,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38464,,NIFTY,,2025-05-08,2025-05-08,21800.0,CE,NIFTY2550821800CE,2545.0,2560.0,2545.0,2560.0,2560.0,2292.6,24335.95,2570.6,2775,75,3,5478937.5,3,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,38416,,NIFTY,,2025-05-08,2025-05-08,20600.0,CE,NIFTY2550820600CE,0.0,0.0,0.0,3593.65,3593.65,3593.65,24335.95,3768.7,75,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,52127,,NIFTY,,2025-04-30,2025-04-30,26050.0,CE,NIFTY2543026050CE,0.8,1.4,0.6,0.8,0.65,0.8,24335.95,0.8,1504050,120900,129729,253467295882.5,25056,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61393,,NIFTY,,2025-05-29,2025-05-29,21450.0,CE,NIFTY25MAY21450CE,0.0,0.0,0.0,2804.4,2804.4,2804.4,24335.95,3000.55,1425,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61401,,NIFTY,,2025-05-29,2025-05-29,21650.0,CE,NIFTY25MAY21650CE,0.0,0.0,0.0,2615.3,2615.3,2615.3,24335.95,2802.6,1950,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61473,,NIFTY,,2025-05-29,2025-05-29,21850.0,CE,NIFTY25MAY21850CE,0.0,0.0,0.0,2422.6,2422.6,2422.6,24335.95,2605.3,2400,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61493,,NIFTY,,2025-05-29,2025-05-29,22200.0,CE,NIFTY25MAY22200CE,0.0,0.0,0.0,2260.0,2260.0,2260.0,24335.95,2263.0,31800,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61503,,NIFTY,,2025-05-29,2025-05-29,22450.0,CE,NIFTY25MAY22450CE,0.0,0.0,0.0,1853.7,1853.7,1853.7,24335.95,2022.3,4050,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61541,,NIFTY,,2025-05-29,2025-05-29,23400.0,CE,NIFTY25MAY23400CE,1270.0,1299.75,1159.0,1183.0,1180.0,1197.05,24335.95,1183.0,205725,-3450,194,357982725.0,119,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61667,,NIFTY,,2025-05-29,2025-05-29,24100.0,CE,NIFTY25MAY24100CE,709.95,735.0,630.0,640.25,642.95,659.75,24335.95,640.25,705075,-13200,3137,5827145996.25,2041,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61761,,NIFTY,,2025-05-29,2025-05-29,25150.0,CE,NIFTY25MAY25150CE,160.3,173.7,130.0,133.2,136.45,142.4,24335.95,133.2,46350,-4125,1101,2089153931.25,620,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,52118,,NIFTY,,2025-04-30,2025-04-30,25900.0,CE,NIFTY2543025900CE,0.75,1.5,0.6,0.8,0.7,0.75,24335.95,0.8,2592525,-885825,318003,617745137111.25,71076,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,52026,,NIFTY,,2025-04-30,2025-04-30,24700.0,CE,NIFTY2543024700CE,10.0,18.7,3.4,3.85,3.4,13.4,24335.95,3.85,5410050,1279800,1261245,2337264003667.5,317086,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,52016,,NIFTY,,2025-04-30,2025-04-30,24650.0,CE,NIFTY2543024650CE,17.6,25.15,4.25,4.75,4.3,17.6,24335.95,4.75,3291300,1446300,928183,1716767023387.5,285907,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51982,,NIFTY,,2025-04-30,2025-04-30,24100.0,CE,NIFTY2543024100CE,319.95,368.9,216.75,232.55,233.45,282.25,24335.95,232.55,2370375,-287100,149677,273525728771.25,100077,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51948,,NIFTY,,2025-04-30,2025-04-30,23500.0,CE,NIFTY2543023500CE,899.95,960.5,800.0,823.95,825.0,856.95,24335.95,823.95,507825,-61425,4208,7685740222.5,2579,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51872,,NIFTY,,2025-04-30,2025-04-30,22400.0,CE,NIFTY2543022400CE,1943.35,1960.0,1925.0,1929.55,1925.0,1943.35,24335.95,1929.55,12600,-6450,93,169759590.0,25,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51870,,NIFTY,,2025-04-30,2025-04-30,22350.0,CE,NIFTY2543022350CE,0.0,0.0,0.0,1885.0,1885.0,1885.0,24335.95,1989.9,3375,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51854,,NIFTY,,2025-04-30,2025-04-30,22100.0,CE,NIFTY2543022100CE,2286.25,2340.0,2220.1,2220.1,2220.1,2216.15,24335.95,2220.1,10050,0,8,14614548.75,8,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,61765,,NIFTY,,2025-05-29,2025-05-29,25250.0,CE,NIFTY25MAY25250CE,125.5,143.15,106.75,110.2,111.85,116.7,24335.95,110.2,47700,13725,1033,1965758081.25,690,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,62067,,NIFTY,,2025-06-26,2025-06-26,20550.0,CE,NIFTY25JUN20550CE,0.0,0.0,0.0,3781.5,3781.5,3781.5,24335.95,4006.4,375,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,62195,,NIFTY,,2025-06-26,2025-06-26,22400.0,CE,NIFTY25JUN22400CE,0.0,0.0,0.0,2001.0,2001.0,2001.0,24335.95,2234.05,1950,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,62309,,NIFTY,,2025-06-26,2025-06-26,23200.0,CE,NIFTY25JUN23200CE,1517.0,1540.5,1517.0,1531.1,1538.35,1564.7,24335.95,1531.1,7050,1875,52,96451188.75,26,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,62339,,NIFTY,,2025-06-26,2025-06-26,23750.0,CE,NIFTY25JUN23750CE,1189.0,1189.0,1189.0,1189.0,1189.0,1025.0,24335.95,1149.1,975,-75,1,1870425.0,1,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,62385,,NIFTY,,2025-06-26,2025-06-26,24750.0,CE,NIFTY25JUN24750CE,502.2,525.0,468.45,469.65,470.05,464.45,24335.95,469.65,8775,5175,202,382375346.25,92,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55683,,NIFTY,,2025-07-31,2025-07-31,22550.0,CE,NIFTY25JUL22550CE,0.0,0.0,0.0,2263.6,0.0,2263.6,24335.95,2308.65,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55687,,NIFTY,,2025-07-31,2025-07-31,22650.0,CE,NIFTY25JUL22650CE,0.0,0.0,0.0,2182.0,0.0,2182.0,24335.95,2225.45,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55763,,NIFTY,,2025-07-31,2025-07-31,24150.0,CE,NIFTY25JUL24150CE,0.0,0.0,0.0,1135.0,0.0,1135.0,24335.95,1153.25,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55803,,NIFTY,,2025-07-31,2025-07-31,25100.0,CE,NIFTY25JUL25100CE,0.0,0.0,0.0,673.25,0.0,673.25,24335.95,678.7,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51842,,NIFTY,,2025-04-30,2025-04-30,21800.0,CE,NIFTY2543021800CE,2540.0,2550.05,2538.0,2550.05,2550.05,2550.0,24335.95,2539.8,9450,-75,3,5477103.75,3,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,51810,,NIFTY,,2025-04-30,2025-04-30,21200.0,CE,NIFTY2543021200CE,0.0,0.0,0.0,2940.0,2940.0,2940.0,24335.95,3139.7,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55831,,NIFTY,,2025-07-31,2025-07-31,25600.0,CE,NIFTY25JUL25600CE,0.0,0.0,0.0,493.5,0.0,493.5,24335.95,494.4,0,0,0,0.0,0,F1,75,,,,,
2025-04-29,2025-04-29,FO,NSE,IDO,55835,,NIFTY,,2025-07-31,2025-07-31,25700.0,CE,NIFTY25JUL25700CE,0.0,0.0,0.0,462.4,0.0,462.4,24335.95,462.55,0,0,0,0.0,0,F1,75,,,,,
