TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-02-25,2025-02-25,FO,NSE,IDO,46998,,NIFTY,,2025-03-27,2025-03-27,22500.0,PE,NIFTY25MAR22500PE,260.0,261.65,226.65,242.85,248.0,248.4,22547.55,242.85,3570675,339375,37761,64402845135.0,23456,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,51400,,NIFTY,,2025-03-27,2025-03-27,23500.0,PE,NIFTY25MAR23500PE,835.0,857.0,790.55,830.75,844.55,825.75,22547.55,830.75,1100550,145725,5918,10797544882.5,4709,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,54722,,NIFTY,,2025-03-27,2025-03-27,23900.0,PE,NIFTY25MAR23900PE,1172.0,1208.65,1161.6,1172.45,1208.65,1171.85,22547.55,1172.45,203325,91275,1249,2348399898.75,1246,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,68422,,NIFTY,,2025-03-06,2025-03-06,22100.0,PE,NIFTY2530622100PE,45.9,46.65,25.2,32.85,35.3,42.35,22547.55,32.85,556125,262275,35135,58318345800.0,20556,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,68408,,NIFTY,,2025-03-06,2025-03-06,21800.0,PE,NIFTY2530621800PE,17.45,18.3,9.5,13.75,15.35,17.4,22547.55,13.75,1108950,577350,39766,65054263121.25,18459,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,68369,,NIFTY,,2025-03-06,2025-03-06,20950.0,PE,NIFTY2530620950PE,2.2,3.9,2.2,3.3,3.9,10.05,22547.55,3.3,11250,11250,708,1112594966.25,485,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,57690,,NIFTY,,2025-02-27,2025-02-27,26150.0,PE,NIFTY25FEB26150PE,0.0,0.0,0.0,3111.7,3112.6,3111.7,22547.55,3593.15,225,0,0,0.0,0,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,57680,,NIFTY,,2025-02-27,2025-02-27,25900.0,PE,NIFTY25FEB25900PE,3320.0,3320.0,3273.6,3301.35,3301.35,3296.5,22547.55,3343.25,5250,-450,19,41598705.0,16,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,57668,,NIFTY,,2025-02-27,2025-02-27,25600.0,PE,NIFTY25FEB25600PE,2970.0,3034.8,2970.0,3023.6,3034.8,2960.0,22547.55,3023.6,6600,-15075,271,581432617.5,133,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,57664,,NIFTY,,2025-02-27,2025-02-27,25500.0,PE,NIFTY25FEB25500PE,2925.0,2975.0,2863.05,2925.65,2937.0,2885.25,22547.55,2925.65,150825,-108000,1728,3681442732.5,1388,F1,75,,,,,
2025-02-25,2025-02-25,FO,NSE,IDO,57584,,NIFTY,,2025-02-27,2025-02-27,23550.0,PE,NIFTY25FEB23550PE,962.0,985.0,924.1,970.4,982.15,931.55,22547.55,970.4,90600,-4650,264,485114778.75,134,F1,75,,,,,
