TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-24,2024-12-24,FO,NSE,IDO,51449,,NIFTY,,2025-06-26,2025-06-26,21000.0,CE,NIFTY25JUN21000CE,0.0,0.0,0.0,3199.45,0.0,3199.45,23727.65,3477.9,0,0,0,0.0,0,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,46263,,NIFTY,,2025-01-30,2025-01-30,23550.0,CE,NIFTY25JAN23550CE,614.95,693.15,592.0,619.95,618.15,635.3,23727.65,619.95,23275,675,397,240181800.0,269,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,55639,,NIFTY,,2025-02-27,2025-02-27,23000.0,CE,NIFTY25FEB23000CE,1240.4,1321.05,1208.0,1231.9,1232.05,1241.55,23727.65,1231.9,46650,5925,305,554500552.5,142,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,57623,,NIFTY,,2025-02-27,2025-02-27,24550.0,CE,NIFTY25FEB24550CE,0.0,0.0,0.0,352.45,352.6,352.45,23727.65,325.75,2025,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,37810,,NIFTY,,2026-12-31,2026-12-31,23000.0,PE,NIFTY26DEC23000PE,636.6,750.0,636.6,750.0,750.0,699.95,23727.65,451.2,12600,25,7,4142908.75,5,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,48096,,NIFTY,,2025-01-09,2025-01-09,23550.0,CE,NIFTY2510923550CE,508.15,508.15,428.85,428.85,428.85,466.0,23727.65,428.85,1575,1500,22,39684078.75,21,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,67780,,NIFTY,,2028-12-28,2028-12-28,23000.0,CE,NIFTY28DEC23000CE,0.0,0.0,0.0,6377.6,0.0,6377.6,23727.65,6561.15,0,0,0,0.0,0,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,53619,,NIFTY,,2027-12-30,2027-12-30,23000.0,PE,NIFTY27DEC23000PE,0.0,0.0,0.0,2201.3,0.0,2201.3,23727.65,420.6,0,0,0,0.0,0,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,57583,,NIFTY,,2025-02-27,2025-02-27,23550.0,CE,NIFTY25FEB23550CE,0.0,0.0,0.0,1228.3,0.0,1228.3,23727.65,799.3,0,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,42477,,NIFTY,,2024-12-26,2024-12-26,24550.0,PE,NIFTY24DEC24550PE,791.25,836.7,672.9,786.5,777.0,781.05,23727.65,786.5,80125,-13800,1127,713028650.0,328,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,37749,,NIFTY,,2025-06-26,2025-06-26,23000.0,CE,NIFTY25JUN23000CE,1830.1,1914.0,1816.35,1850.25,1850.0,1885.85,23727.65,1850.25,44850,4900,500,310975058.75,317,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,55038,,NIFTY,,2025-01-23,2025-01-23,24550.0,PE,NIFTY2512324550PE,0.0,0.0,0.0,727.3,0.0,727.3,23727.65,814.15,0,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,37724,,NIFTY,,2024-12-26,2024-12-26,23000.0,CE,NIFTY24DEC23000CE,772.5,884.3,720.25,772.7,775.3,775.55,23727.65,772.7,751875,-256075,34905,20780461760.0,11812,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,37748,,NIFTY,,2024-12-26,2024-12-26,23000.0,PE,NIFTY24DEC23000PE,5.5,5.75,2.1,2.5,2.3,5.3,23727.65,2.5,8595150,-893150,1728624,994114263591.25,180907,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,52801,,NIFTY,,2025-01-16,2025-01-16,24550.0,PE,NIFTY2511624550PE,0.0,0.0,0.0,367.3,367.3,367.3,23727.65,805.25,75,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,52451,,NIFTY,,2025-01-02,2025-01-02,23000.0,CE,NIFTY2510223000CE,845.0,940.0,800.0,830.35,836.9,852.9,23727.65,830.35,135975,42900,1306,2336898165.0,844,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,52634,,NIFTY,,2025-01-02,2025-01-02,25550.0,PE,NIFTY2510225550PE,1730.0,1730.0,1730.0,1730.0,1730.0,1630.0,23727.65,1779.9,1425,900,12,24552000.0,1,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,52633,,NIFTY,,2025-01-02,2025-01-02,25550.0,CE,NIFTY2510225550CE,3.7,3.75,2.4,2.55,2.4,3.65,23727.65,2.55,42375,1125,890,1705650577.5,482,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,55104,,NIFTY,,2025-01-23,2025-01-23,25550.0,PE,NIFTY2512325550PE,0.0,0.0,0.0,1497.7,0.0,1497.7,23727.65,1696.4,0,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,46470,,NIFTY,,2025-01-30,2025-01-30,25500.0,PE,NIFTY25JAN25500PE,1600.6,1618.7,1465.25,1565.25,1561.15,1560.9,23727.65,1565.25,407075,85975,11020,7444890928.75,7618,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,57664,,NIFTY,,2025-02-27,2025-02-27,25500.0,PE,NIFTY25FEB25500PE,1520.0,1520.0,1393.8,1487.25,1487.25,1498.5,23727.65,1575.35,40050,-1200,37,74734361.25,29,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,54656,,NIFTY,,2024-12-26,2024-12-26,25500.0,PE,NIFTY24DEC25500PE,1750.0,1784.75,1620.0,1735.55,1725.8,1726.5,23727.65,1735.55,366600,-165450,9860,6705466477.5,5386,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,46469,,NIFTY,,2025-01-30,2025-01-30,25500.0,CE,NIFTY25JAN25500CE,31.5,31.5,20.9,21.85,22.5,31.05,23727.65,21.85,1659725,197175,73688,47022972611.25,22152,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,55100,,NIFTY,,2025-01-23,2025-01-23,25500.0,PE,NIFTY2512325500PE,0.0,0.0,0.0,1454.25,0.0,1454.25,23727.65,1648.7,0,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,62396,,NIFTY,,2024-12-26,2024-12-26,26250.0,PE,NIFTY24DEC26250PE,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,23727.65,2500.0,825,-725,29,20843750.0,1,F1,25,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,48232,,NIFTY,,2025-01-09,2025-01-09,26250.0,CE,NIFTY2510926250CE,0.0,0.0,0.0,6.0,6.0,6.0,23727.65,0.05,300,0,0,0.0,0,F1,75,,,,,
2024-12-24,2024-12-24,FO,NSE,IDO,52903,,NIFTY,,2025-01-16,2025-01-16,26250.0,PE,NIFTY2511626250PE,0.0,0.0,0.0,1591.0,0.0,1591.0,23727.65,2411.5,0,0,0,0.0,0,F1,75,,,,,
