TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-17,2025-01-17,FO,NSE,IDO,56880,,NIFTY,,2025-03-27,2025-03-27,25400.0,CE,NIFTY25MAR25400CE,83.0,83.0,76.5,80.0,80.0,83.0,23203.2,62.45,7800,-300,29,55416135.0,10,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,54780,,NIFTY,,2025-01-23,2025-01-23,23100.0,CE,NIFTY2512323100CE,308.45,338.55,194.25,244.85,243.35,332.8,23203.2,244.85,797850,442050,488585,855434603190.0,302203,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,43286,,NIFTY,,2025-01-30,2025-01-30,23100.0,PE,NIFTY25JAN23100PE,167.2,242.5,154.3,176.1,179.7,154.05,23203.2,176.1,919225,229600,129904,75656665916.25,45501,F1,25,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,57711,,NIFTY,,2025-02-27,2025-02-27,26450.0,PE,NIFTY25FEB26450PE,0.0,0.0,0.0,2297.0,2297.0,2297.0,23203.2,3048.15,0,0,0,0.0,0,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,47844,,NIFTY,,2025-01-30,2025-01-30,26450.0,PE,NIFTY25JAN26450PE,3183.4,3183.4,3130.0,3130.0,3130.0,2461.25,23203.2,3183.3,100,50,8,5921340.0,4,F1,25,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,47843,,NIFTY,,2025-01-30,2025-01-30,26450.0,CE,NIFTY25JAN26450CE,2.85,3.15,2.1,2.5,2.75,2.9,23203.2,2.5,144100,8600,2792,1846376096.25,537,F1,25,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,51148,,NIFTY,,2025-02-13,2025-02-13,22250.0,PE,NIFTY2521322250PE,0.0,0.0,0.0,59.15,0.0,59.15,23203.2,40.4,0,0,0,0.0,0,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,55610,,NIFTY,,2025-02-27,2025-02-27,22250.0,PE,NIFTY25FEB22250PE,0.0,0.0,0.0,129.25,0.0,129.25,23203.2,72.1,0,0,0,0.0,0,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,64564,,NIFTY,,2025-03-27,2025-03-27,23000.0,CE,NIFTY25MAR23000CE,950.0,997.2,872.05,934.15,930.5,1000.75,23203.2,934.15,452275,8425,1307,2345738527.5,838,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,43271,,NIFTY,,2025-01-30,2025-01-30,23000.0,CE,NIFTY25JAN23000CE,499.1,499.1,351.4,412.15,405.7,499.1,23203.2,412.15,1329075,118025,109473,64073645673.75,34082,F1,25,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,63636,,NIFTY,,2025-02-20,2025-02-20,23550.0,CE,NIFTY2522023550CE,0.0,0.0,0.0,432.85,0.0,432.85,23203.2,293.5,0,0,0,0.0,0,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,51459,,NIFTY,,2025-03-27,2025-03-27,23550.0,CE,NIFTY25MAR23550CE,623.35,630.65,568.4,600.0,600.0,630.0,23203.2,600.0,2775,-600,85,153945183.75,24,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,44966,,NIFTY,,2025-02-06,2025-02-06,23550.0,CE,NIFTY2520623550CE,262.25,275.0,220.2,258.45,257.2,321.65,23203.2,258.45,3900,1350,71,126757387.5,54,F1,75,,,,,
2025-01-17,2025-01-17,FO,NSE,IDO,54983,,NIFTY,,2025-01-23,2025-01-23,23550.0,CE,NIFTY2512323550CE,77.25,98.15,38.0,45.5,47.35,94.0,23203.2,45.5,1315125,771075,612187,1083866752338.75,301525,F1,75,,,,,
