TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-12-09,2024-12-09,FO,NSE,IDO,52687,,NIFTY,,2025-01-02,2025-01-02,26400.0,PE,NIFTY2510226400PE,0.0,0.0,0.0,2838.3,0.0,2838.3,24619.0,1674.8,0,0,0,0.0,0,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,46228,,NIFTY,,2024-12-12,2024-12-12,26400.0,PE,NIFTY24D1226400PE,0.0,0.0,0.0,2046.7,0.0,2046.7,24619.0,1766.35,0,0,0,0.0,0,F1,25,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,46227,,NIFTY,,2024-12-12,2024-12-12,26400.0,CE,NIFTY24D1226400CE,1.4,1.65,1.0,1.45,1.3,1.45,24619.0,1.45,8030300,1271175,761986,502935072025.0,52861,F1,25,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,48238,,NIFTY,,2025-01-09,2025-01-09,26400.0,CE,NIFTY2510926400CE,0.0,0.0,0.0,77.6,0.0,77.6,24619.0,22.95,0,0,0,0.0,0,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,48240,,NIFTY,,2025-01-09,2025-01-09,26400.0,PE,NIFTY2510926400PE,0.0,0.0,0.0,1585.3,0.0,1585.3,24619.0,1653.05,0,0,0,0.0,0,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,57598,,NIFTY,,2025-02-27,2025-02-27,23900.0,PE,NIFTY25FEB23900PE,257.85,257.85,236.0,236.0,236.0,241.25,24619.0,222.0,1275,75,3,5433877.5,3,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,52529,,NIFTY,,2025-01-02,2025-01-02,23900.0,PE,NIFTY2510223900PE,97.0,106.1,91.9,106.1,106.1,154.5,24619.0,106.1,1125,-375,22,39594348.75,22,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,52527,,NIFTY,,2025-01-02,2025-01-02,23900.0,CE,NIFTY2510223900CE,984.2,984.2,958.9,958.9,958.9,1035.15,24619.0,899.25,1500,-150,2,3730732.5,2,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,48111,,NIFTY,,2025-01-09,2025-01-09,23900.0,PE,NIFTY2510923900PE,0.0,0.0,0.0,149.6,0.0,149.6,24619.0,98.8,0,0,0,0.0,0,F1,75,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,46084,,NIFTY,,2024-12-12,2024-12-12,23900.0,PE,NIFTY24D1223900PE,14.35,16.75,7.25,8.3,8.2,14.5,24619.0,8.3,3194050,1352200,1062410,635062216612.5,146545,F1,25,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,41692,,NIFTY,,2024-12-26,2024-12-26,23900.0,PE,NIFTY24DEC23900PE,93.3,93.3,66.6,75.2,74.7,74.05,24619.0,75.2,1039300,-22375,30855,18494873450.0,10287,F1,25,,,,,
2024-12-09,2024-12-09,FO,NSE,IDO,47377,,NIFTY,,2024-12-19,2024-12-19,23900.0,PE,NIFTY24D1923900PE,51.0,55.65,37.55,42.35,43.55,47.0,24619.0,42.35,285100,142925,32304,19337143663.75,11873,F1,25,,,,,
