TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-03-07,2025-03-07,FO,NSE,IDO,46791,,NIFTY,,2025-03-27,2025-03-27,20500.0,PE,NIFTY25MAR20500PE,8.65,8.65,5.5,6.2,6.15,7.45,22552.5,6.2,962775,62025,19124,29411846336.25,8270,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,46801,,NIFTY,,2025-03-27,2025-03-27,20650.0,PE,NIFTY25MAR20650PE,7.4,10.95,6.5,7.25,7.7,9.25,22552.5,7.25,14850,1125,321,497324688.75,210,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,47015,,NIFTY,,2025-03-27,2025-03-27,22550.0,PE,NIFTY25MAR22550PE,255.0,262.9,189.65,216.8,219.25,243.8,22552.5,216.8,287175,81525,9794,16727481615.0,6184,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,51127,,NIFTY,,2025-03-27,2025-03-27,23450.0,PE,NIFTY25MAR23450PE,853.1,853.1,823.15,823.15,823.15,863.35,22552.5,859.7,14100,-225,3,5463705.0,3,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,56547,,NIFTY,,2025-03-27,2025-03-27,24800.0,PE,NIFTY25MAR24800PE,2140.0,2140.0,2125.8,2125.8,2125.8,2162.55,22552.5,2159.7,18300,150,2,4039935.0,2,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,64571,,NIFTY,,2025-03-27,2025-03-27,25000.0,PE,NIFTY25MAR25000PE,2418.55,2418.55,2265.0,2331.55,2352.55,2373.35,22552.5,2331.55,1417000,-10075,549,1125370938.75,324,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,56893,,NIFTY,,2025-03-27,2025-03-27,25700.0,PE,NIFTY25MAR25700PE,3022.35,3022.35,2984.3,2985.25,2984.3,3076.95,22552.5,2985.25,14025,0,4,8608350.0,4,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,64591,,NIFTY,,2025-03-27,2025-03-27,30000.0,PE,NIFTY25MAR30000PE,7323.65,7347.5,7275.25,7299.9,7305.0,7331.8,22552.5,7299.9,34025,-525,10,27976432.5,10,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,49177,,NIFTY,,2025-12-24,2025-12-24,16000.0,CE,NIFTY25DEC16000CE,0.0,0.0,0.0,7200.0,7200.0,7200.0,22552.5,7363.5,50,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,37749,,NIFTY,,2025-06-26,2025-06-26,23000.0,CE,NIFTY25JUN23000CE,635.0,712.75,635.0,669.5,660.0,654.9,22552.5,669.5,870300,60600,3630,6445330342.5,2322,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61561,,NIFTY,,2025-05-29,2025-05-29,23900.0,CE,NIFTY25MAY23900CE,160.0,172.95,160.0,166.0,166.0,166.7,22552.5,166.0,2700,675,13,23469311.25,6,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61545,,NIFTY,,2025-05-29,2025-05-29,23500.0,CE,NIFTY25MAY23500CE,260.25,315.3,260.0,291.4,282.85,275.1,22552.5,291.4,189525,13200,1102,1966071393.75,735,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61543,,NIFTY,,2025-05-29,2025-05-29,23450.0,CE,NIFTY25MAY23450CE,0.0,0.0,0.0,293.0,293.0,293.0,22552.5,343.15,1050,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61337,,NIFTY,,2025-05-29,2025-05-29,20700.0,CE,NIFTY25MAY20700CE,0.0,0.0,0.0,2065.5,2065.5,2065.5,22552.5,2189.2,75,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,79741,,NIFTY,,2025-04-24,2025-04-24,25350.0,CE,NIFTY25APR25350CE,8.85,8.85,8.85,8.85,8.85,22.85,22552.5,8.85,375,0,1,1901913.75,1,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,79739,,NIFTY,,2025-04-24,2025-04-24,25300.0,CE,NIFTY25APR25300CE,11.55,11.55,10.65,11.0,11.1,10.1,22552.5,11.0,4875,75,10,18983253.75,6,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,79515,,NIFTY,,2025-04-24,2025-04-24,23850.0,CE,NIFTY25APR23850CE,71.95,88.55,71.45,79.6,77.7,73.05,22552.5,79.6,5850,-3375,117,209986698.75,53,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,79438,,NIFTY,,2025-04-24,2025-04-24,23150.0,CE,NIFTY25APR23150CE,247.6,301.1,240.0,261.8,259.75,253.95,22552.5,261.8,58425,15900,322,565343970.0,304,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,79415,,NIFTY,,2025-04-24,2025-04-24,22850.0,CE,NIFTY25APR22850CE,429.25,429.95,379.1,402.65,392.65,386.5,22552.5,402.65,17925,5175,150,261588007.5,143,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45330,,NIFTY,,2025-03-13,2025-03-13,20350.0,CE,NIFTY2531320350CE,2197.1,2197.1,2183.25,2183.25,2183.25,2188.75,22552.5,2224.25,450,-75,2,3381026.25,2,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45356,,NIFTY,,2025-03-13,2025-03-13,20650.0,CE,NIFTY2531320650CE,1892.85,1892.85,1869.6,1869.6,1869.6,1888.1,22552.5,1924.55,375,-75,2,3379683.75,2,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45392,,NIFTY,,2025-03-13,2025-03-13,21050.0,CE,NIFTY2531321050CE,0.0,0.0,0.0,1485.45,1485.45,1485.45,22552.5,1525.0,375,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45472,,NIFTY,,2025-03-13,2025-03-13,22600.0,CE,NIFTY2531322600CE,128.2,183.6,103.35,130.85,123.4,130.55,22552.5,130.85,4316550,2053575,3033323,5172912432903.75,1775133,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45482,,NIFTY,,2025-03-13,2025-03-13,22850.0,CE,NIFTY2531322850CE,40.0,66.3,31.15,37.9,34.4,43.55,22552.5,37.9,2014200,1016475,1082335,1858465726980.0,549424,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45525,,NIFTY,,2025-03-13,2025-03-13,23450.0,CE,NIFTY2531323450CE,2.0,2.6,1.3,1.5,1.35,2.1,22552.5,1.5,987675,321675,309426,544249280077.5,68404,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45636,,NIFTY,,2025-03-13,2025-03-13,24950.0,CE,NIFTY2531324950CE,0.9,0.9,0.55,0.65,0.6,0.8,22552.5,0.65,39900,30675,4978,9315349680.0,1381,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,45655,,NIFTY,,2025-03-13,2025-03-13,25350.0,CE,NIFTY2531325350CE,0.75,0.8,0.55,0.6,0.55,0.75,22552.5,0.6,2168550,192975,162528,309014670472.5,17483,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50131,,NIFTY,,2025-03-20,2025-03-20,21650.0,CE,NIFTY2532021650CE,935.1,960.85,935.1,960.85,960.85,947.7,22552.5,962.3,525,-75,2,3389696.25,2,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50157,,NIFTY,,2025-03-20,2025-03-20,22150.0,CE,NIFTY2532022150CE,492.85,575.75,471.8,518.45,518.65,513.25,22552.5,518.45,12225,-2325,163,277022561.25,125,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50194,,NIFTY,,2025-03-20,2025-03-20,22550.0,CE,NIFTY2532022550CE,220.4,296.5,205.5,238.7,232.8,237.6,22552.5,238.7,106950,41175,10470,17898552547.5,7251,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50199,,NIFTY,,2025-03-20,2025-03-20,22600.0,CE,NIFTY2532022600CE,209.2,265.8,180.0,210.7,206.1,209.45,22552.5,210.7,395625,160500,26636,45581577258.75,18387,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50201,,NIFTY,,2025-03-20,2025-03-20,22650.0,CE,NIFTY2532022650CE,166.2,236.6,157.3,184.65,179.45,183.45,22552.5,184.65,68700,41175,8089,13857164572.5,5744,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50237,,NIFTY,,2025-03-20,2025-03-20,23350.0,CE,NIFTY2532023350CE,15.3,21.55,12.1,14.55,13.5,15.85,22552.5,14.55,29250,-3900,4467,7828291361.25,3045,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50251,,NIFTY,,2025-03-20,2025-03-20,23650.0,CE,NIFTY2532023650CE,5.3,6.45,4.25,4.55,4.6,5.25,22552.5,4.55,20625,14100,1122,1990580628.75,547,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50287,,NIFTY,,2025-03-20,2025-03-20,24250.0,CE,NIFTY2532024250CE,2.4,2.4,1.6,1.75,1.75,2.6,22552.5,1.75,2100,-450,85,154605783.75,28,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,46831,,NIFTY,,2025-03-27,2025-03-27,21150.0,CE,NIFTY25MAR21150CE,1461.9,1509.85,1461.9,1509.85,1509.85,1474.0,22552.5,1509.85,975,-75,2,3395381.25,2,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,46880,,NIFTY,,2025-03-27,2025-03-27,21500.0,CE,NIFTY25MAR21500CE,1110.4,1253.9,1100.15,1168.25,1159.2,1145.65,22552.5,1168.25,806700,-74250,2351,4002378266.25,935,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,46928,,NIFTY,,2025-03-27,2025-03-27,21900.0,CE,NIFTY25MAR21900CE,757.95,873.95,744.5,806.15,797.1,783.8,22552.5,806.15,79350,-4950,465,792096240.0,285,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,53976,,NIFTY,,2025-03-27,2025-03-27,23800.0,CE,NIFTY25MAR23800CE,11.85,14.5,9.9,10.85,11.0,11.85,22552.5,10.85,1012050,105075,10816,19316048947.5,5185,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,56528,,NIFTY,,2025-03-27,2025-03-27,24600.0,CE,NIFTY25MAR24600CE,3.25,4.5,3.0,3.2,3.25,3.75,22552.5,3.2,93525,15150,2014,3716342883.75,879,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61660,,NIFTY,,2029-12-27,2029-12-27,21000.0,PE,NIFTY29DEC21000PE,0.0,0.0,0.0,278.8,0.0,278.8,22552.5,238.1,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,61391,,NIFTY,,2029-12-27,2029-12-27,18000.0,PE,NIFTY29DEC18000PE,0.0,0.0,0.0,96.5,0.0,96.5,22552.5,64.0,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,89631,,NIFTY,,2029-06-28,2029-06-28,24000.0,PE,NIFTY29JUN24000PE,0.0,0.0,0.0,694.05,694.05,694.05,22552.5,682.0,25,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,89625,,NIFTY,,2029-06-28,2029-06-28,21000.0,PE,NIFTY29JUN21000PE,0.0,0.0,0.0,320.25,0.0,320.25,22552.5,251.3,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,89623,,NIFTY,,2029-06-28,2029-06-28,20000.0,PE,NIFTY29JUN20000PE,0.0,0.0,0.0,236.95,0.0,236.95,22552.5,167.15,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,67789,,NIFTY,,2028-12-28,2028-12-28,27000.0,PE,NIFTY28DEC27000PE,0.0,0.0,0.0,1413.85,0.0,1413.85,22552.5,1592.45,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,86164,,NIFTY,,2028-06-29,2028-06-29,27000.0,PE,NIFTY28JUN27000PE,0.0,0.0,0.0,2752.35,0.0,2752.35,22552.5,1767.85,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,53625,,NIFTY,,2027-12-30,2027-12-30,24000.0,PE,NIFTY27DEC24000PE,0.0,0.0,0.0,1349.0,1349.0,1349.0,22552.5,877.3,750,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,71557,,NIFTY,,2027-06-24,2027-06-24,22000.0,PE,NIFTY27JUN22000PE,0.0,0.0,0.0,3995.4,0.0,3995.4,22552.5,447.1,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,71548,,NIFTY,,2027-06-24,2027-06-24,18000.0,PE,NIFTY27JUN18000PE,0.0,0.0,0.0,48.55,48.55,48.55,22552.5,46.5,25,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,58635,,NIFTY,,2026-12-31,2026-12-31,15000.0,PE,NIFTY26DEC15000PE,0.0,0.0,0.0,36.75,36.75,36.75,22552.5,1.5,2275,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,58629,,NIFTY,,2026-12-31,2026-12-31,12000.0,PE,NIFTY26DEC12000PE,0.0,0.0,0.0,20.05,20.05,20.05,22552.5,0.05,1025,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,50972,,NIFTY,,2025-12-24,2025-12-24,27000.0,PE,NIFTY25DEC27000PE,3034.6,3105.0,3009.35,3073.05,3090.15,3102.85,22552.5,3073.05,222150,-50,31,69862098.75,30,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,71403,,NIFTY,,2025-12-24,2025-12-24,26000.0,PE,NIFTY25DEC26000PE,2350.0,2363.5,2248.0,2306.5,2304.7,2337.35,22552.5,2306.5,166625,2550,94,199503352.5,74,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,38151,,NIFTY,,2025-06-26,2025-06-26,29000.0,PE,NIFTY25JUN29000PE,0.0,0.0,0.0,6724.5,0.0,6724.5,22552.5,5880.3,0,0,0,0.0,0,F1,75,,,,,
2025-03-07,2025-03-07,FO,NSE,IDO,37794,,NIFTY,,2025-06-26,2025-06-26,23000.0,PE,NIFTY25JUN23000PE,665.45,671.8,595.7,631.1,641.7,652.0,22552.5,631.1,1356625,-91425,3842,6809959680.0,2439,F1,75,,,,,
