TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-01-23,2025-01-23,FO,NSE,IDO,44841,,NIFTY,,2025-02-06,2025-02-06,21950.0,CE,NIFTY2520621950CE,0.0,0.0,0.0,2399.1,0.0,2399.1,23205.35,1315.1,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,46943,,NIFTY,,2025-03-27,2025-03-27,21950.0,PE,NIFTY25MAR21950PE,0.0,0.0,0.0,110.9,110.9,110.9,23205.35,71.7,3150,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63285,,NIFTY,,2025-02-20,2025-02-20,21950.0,CE,NIFTY2522021950CE,0.0,0.0,0.0,1562.95,0.0,1562.95,23205.35,1387.5,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43238,,NIFTY,,2025-01-30,2025-01-30,22350.0,PE,NIFTY25JAN22350PE,17.5,18.05,11.55,13.9,14.25,17.45,23205.35,13.9,266075,98700,49777,27829792002.5,12269,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55614,,NIFTY,,2025-02-27,2025-02-27,22350.0,PE,NIFTY25FEB22350PE,156.25,156.25,144.8,146.6,149.85,167.45,23205.35,146.6,3975,-75,34,57368673.75,14,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,46989,,NIFTY,,2025-03-27,2025-03-27,22350.0,PE,NIFTY25MAR22350PE,0.0,0.0,0.0,194.5,194.5,194.5,23205.35,134.3,3075,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63357,,NIFTY,,2025-02-20,2025-02-20,22350.0,CE,NIFTY2522022350CE,0.0,0.0,0.0,1217.7,0.0,1217.7,23205.35,1025.0,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44858,,NIFTY,,2025-02-06,2025-02-06,22350.0,CE,NIFTY2520622350CE,0.0,0.0,0.0,2014.15,0.0,2014.15,23205.35,930.35,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51151,,NIFTY,,2025-02-13,2025-02-13,22350.0,CE,NIFTY2521322350CE,0.0,0.0,0.0,1403.95,0.0,1403.95,23205.35,977.5,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44859,,NIFTY,,2025-02-06,2025-02-06,22350.0,PE,NIFTY2520622350PE,0.0,0.0,0.0,20.0,0.0,20.0,23205.35,17.2,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43213,,NIFTY,,2025-01-30,2025-01-30,21950.0,CE,NIFTY25JAN21950CE,0.0,0.0,0.0,2652.1,2652.15,2652.1,23205.35,1283.9,150,0,0,0.0,0,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51132,,NIFTY,,2025-02-13,2025-02-13,21950.0,PE,NIFTY2521321950PE,0.0,0.0,0.0,32.65,0.0,32.65,23205.35,9.7,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,54692,,NIFTY,,2025-01-23,2025-01-23,21950.0,CE,NIFTY2512321950CE,0.0,0.0,0.0,1212.1,1212.1,1212.1,23205.35,23205.35,150,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,46942,,NIFTY,,2025-03-27,2025-03-27,21950.0,CE,NIFTY25MAR21950CE,0.0,0.0,0.0,2301.2,0.0,2301.2,23205.35,1581.3,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63358,,NIFTY,,2025-02-20,2025-02-20,22350.0,PE,NIFTY2522022350PE,0.0,0.0,0.0,100.25,0.0,100.25,23205.35,54.25,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55598,,NIFTY,,2025-02-27,2025-02-27,21950.0,PE,NIFTY25FEB21950PE,57.35,57.35,57.35,57.35,57.35,132.7,23205.35,29.0,15450,375,5,8252756.25,1,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,54716,,NIFTY,,2025-01-23,2025-01-23,22350.0,PE,NIFTY2512322350PE,1.15,1.25,0.05,0.1,0.05,1.6,23205.35,23205.35,952425,-403050,495837,831173962440.0,99519,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43237,,NIFTY,,2025-01-30,2025-01-30,22350.0,CE,NIFTY25JAN22350CE,952.3,952.3,952.3,952.3,952.3,750.0,23205.35,952.3,350,125,5,2912787.5,1,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,54715,,NIFTY,,2025-01-23,2025-01-23,22350.0,CE,NIFTY2512322350CE,0.0,0.0,0.0,1041.6,1041.6,1041.6,23205.35,23205.35,75,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43214,,NIFTY,,2025-01-30,2025-01-30,21950.0,PE,NIFTY25JAN21950PE,5.15,6.05,4.05,5.1,5.3,5.8,23205.35,5.1,215025,70100,36443,20002779616.25,10613,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55613,,NIFTY,,2025-02-27,2025-02-27,22350.0,CE,NIFTY25FEB22350CE,0.0,0.0,0.0,2111.35,0.0,2111.35,23205.35,1071.8,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44842,,NIFTY,,2025-02-06,2025-02-06,21950.0,PE,NIFTY2520621950PE,0.0,0.0,0.0,38.45,38.45,38.45,23205.35,3.0,1125,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51131,,NIFTY,,2025-02-13,2025-02-13,21950.0,CE,NIFTY2521321950CE,0.0,0.0,0.0,1762.7,0.0,1762.7,23205.35,1350.1,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55597,,NIFTY,,2025-02-27,2025-02-27,21950.0,CE,NIFTY25FEB21950CE,1469.55,1508.6,1469.55,1508.6,1508.6,2451.75,23205.35,1426.0,600,600,10,17570520.0,5,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,46988,,NIFTY,,2025-03-27,2025-03-27,22350.0,CE,NIFTY25MAR22350CE,0.0,0.0,0.0,1967.0,0.0,1967.0,23205.35,1248.55,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,54693,,NIFTY,,2025-01-23,2025-01-23,21950.0,PE,NIFTY2512321950PE,0.7,0.95,0.05,0.05,0.05,1.05,23205.35,23205.35,994575,-524100,320603,527806694002.5,55843,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63286,,NIFTY,,2025-02-20,2025-02-20,21950.0,PE,NIFTY2522021950PE,0.0,0.0,0.0,48.25,0.0,48.25,23205.35,18.75,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44784,,NIFTY,,2025-02-06,2025-02-06,21250.0,CE,NIFTY2520621250CE,0.0,0.0,0.0,3087.55,0.0,3087.55,23205.35,2010.35,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51066,,NIFTY,,2025-02-13,2025-02-13,21250.0,PE,NIFTY2521321250PE,0.0,0.0,0.0,6.3,0.0,6.3,23205.35,0.5,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43155,,NIFTY,,2025-01-30,2025-01-30,21250.0,CE,NIFTY25JAN21250CE,0.0,0.0,0.0,1885.35,1885.35,1885.35,23205.35,1982.85,0,0,0,0.0,0,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63108,,NIFTY,,2025-02-20,2025-02-20,21250.0,CE,NIFTY2522021250CE,0.0,0.0,0.0,2219.95,0.0,2219.95,23205.35,2066.85,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63109,,NIFTY,,2025-02-20,2025-02-20,21250.0,PE,NIFTY2522021250PE,22.25,22.25,22.25,22.25,22.25,10.15,23205.35,1.75,150,150,2,3190837.5,1,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51065,,NIFTY,,2025-02-13,2025-02-13,21250.0,CE,NIFTY2521321250CE,0.0,0.0,0.0,2431.4,0.0,2431.4,23205.35,2038.2,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51148,,NIFTY,,2025-02-13,2025-02-13,22250.0,PE,NIFTY2521322250PE,0.0,0.0,0.0,59.15,0.0,59.15,23205.35,26.3,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55610,,NIFTY,,2025-02-27,2025-02-27,22250.0,PE,NIFTY25FEB22250PE,0.0,0.0,0.0,129.25,0.0,129.25,23205.35,58.35,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,64564,,NIFTY,,2025-03-27,2025-03-27,23000.0,CE,NIFTY25MAR23000CE,900.0,957.0,849.75,920.1,922.0,886.5,23205.35,920.1,470775,3775,1294,2321647792.5,795,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,43271,,NIFTY,,2025-01-30,2025-01-30,23000.0,CE,NIFTY25JAN23000CE,316.2,397.65,265.65,357.05,358.9,316.2,23205.35,357.05,2981075,-179975,216923,126610786132.5,66181,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63636,,NIFTY,,2025-02-20,2025-02-20,23550.0,CE,NIFTY2522023550CE,0.0,0.0,0.0,432.85,0.0,432.85,23205.35,249.0,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51459,,NIFTY,,2025-03-27,2025-03-27,23550.0,CE,NIFTY25MAR23550CE,595.3,595.3,595.3,595.3,595.3,550.0,23205.35,595.3,1875,75,1,1810897.5,1,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44966,,NIFTY,,2025-02-06,2025-02-06,23550.0,CE,NIFTY2520623550CE,200.0,254.05,199.55,226.95,229.25,216.55,23205.35,226.95,23850,-300,445,793676857.5,295,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,54983,,NIFTY,,2025-01-23,2025-01-23,23550.0,CE,NIFTY2512323550CE,3.0,3.9,0.05,0.15,0.05,4.3,23205.35,23205.35,3830475,682725,1764960,3117540023898.75,294436,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,46263,,NIFTY,,2025-01-30,2025-01-30,23550.0,CE,NIFTY25JAN23550CE,50.0,89.9,43.6,69.45,68.8,59.7,23205.35,69.45,557725,56350,173395,102388727997.5,58146,F1,25,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,55639,,NIFTY,,2025-02-27,2025-02-27,23000.0,CE,NIFTY25FEB23000CE,658.0,749.8,636.85,713.15,711.2,682.15,23205.35,713.15,829875,50775,4755,8456380815.0,3745,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,44920,,NIFTY,,2025-02-06,2025-02-06,23000.0,CE,NIFTY2520623000CE,456.8,564.75,450.9,525.35,526.0,495.45,23205.35,525.35,207525,-6450,3242,5720322228.75,2325,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,57623,,NIFTY,,2025-02-27,2025-02-27,24550.0,CE,NIFTY25FEB24550CE,80.1,93.95,80.1,87.2,87.45,83.45,23205.35,87.2,12975,-3975,199,367730535.0,80,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,37810,,NIFTY,,2026-12-31,2026-12-31,23000.0,PE,NIFTY26DEC23000PE,0.0,0.0,0.0,874.3,874.3,874.3,23205.35,543.35,12275,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,56526,,NIFTY,,2025-03-27,2025-03-27,24550.0,CE,NIFTY25MAR24550CE,0.0,0.0,0.0,239.0,239.0,239.0,23205.35,162.5,1050,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,63637,,NIFTY,,2025-02-20,2025-02-20,23550.0,PE,NIFTY2522023550PE,0.0,0.0,0.0,507.0,0.0,507.0,23205.35,472.0,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,45028,,NIFTY,,2025-02-06,2025-02-06,24550.0,CE,NIFTY2520624550CE,28.95,32.0,27.3,28.6,28.75,28.85,23205.35,28.6,11775,7800,188,346579552.5,81,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,45031,,NIFTY,,2025-02-06,2025-02-06,24550.0,PE,NIFTY2520624550PE,0.0,0.0,0.0,584.45,0.0,584.45,23205.35,1286.2,0,0,0,0.0,0,F1,75,,,,,
2025-01-23,2025-01-23,FO,NSE,IDO,51220,,NIFTY,,2025-02-13,2025-02-13,23550.0,PE,NIFTY2521323550PE,0.0,0.0,0.0,405.1,0.0,405.1,23205.35,446.05,0,0,0,0.0,0,F1,75,,,,,
