date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2025-12-24,23000.0,PE,500.0,549.95,456.3,465.05,465.05,24276.05,234875.0,2525.0,548.0
2024-12-02,NIFTY,2024-12-12,23550.0,CE,656.4,868.0,638.0,829.3,829.3,24276.05,3050.0,1175.0,196.0
2024-12-02,NIFTY,2025-01-02,23550.0,PE,0.0,0.0,0.0,480.0,96.0,24276.05,75.0,0.0,0.0
2024-12-02,NIFTY,2028-06-29,23000.0,PE,0.0,0.0,0.0,1399.25,346.8,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2026-06-25,23000.0,PE,0.0,0.0,0.0,500.55,367.5,24276.05,400.0,0.0,0.0
2024-12-02,NIFTY,2027-06-24,23000.0,PE,0.0,0.0,0.0,4514.3,373.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,27200.0,PE,0.0,0.0,0.0,3038.0,2803.75,24276.05,625.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,26300.0,PE,1960.0,1960.0,1852.8,1854.0,1912.6,24276.05,14650.0,-50.0,4.0
2024-12-02,NIFTY,2025-12-24,31000.0,CE,0.0,0.0,0.0,115.0,201.4,24276.05,6925.0,0.0,0.0
2024-12-02,NIFTY,2025-09-25,31000.0,PE,0.0,0.0,0.0,3384.5,5158.3,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2028-12-28,31000.0,CE,0.0,0.0,0.0,2968.35,3021.4,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2027-12-30,31000.0,CE,0.0,0.0,0.0,1546.6,1947.85,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2029-06-28,31000.0,CE,0.0,0.0,0.0,4882.55,3570.15,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2027-06-24,31000.0,PE,0.0,0.0,0.0,4436.25,3225.6,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2028-06-29,31000.0,CE,0.0,0.0,0.0,1955.45,2478.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-12-24,31000.0,PE,0.0,0.0,0.0,6296.45,4784.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-06-26,31000.0,CE,0.0,0.0,0.0,104.1,23.8,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,31000.0,CE,2.75,2.8,2.2,2.3,2.3,24276.05,717750.0,109075.0,8007.0
2024-12-02,NIFTY,2026-06-25,31000.0,CE,0.0,0.0,0.0,507.8,528.45,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2028-06-29,31000.0,PE,0.0,0.0,0.0,3541.95,2555.4,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2028-12-28,31000.0,PE,0.0,0.0,0.0,2722.7,2292.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2026-06-25,31000.0,PE,0.0,0.0,0.0,5585.0,4151.0,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2026-12-31,31000.0,PE,0.0,0.0,0.0,4949.65,3627.3,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2027-06-24,31000.0,CE,0.0,0.0,0.0,1151.25,1419.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-03-27,31000.0,PE,0.0,0.0,0.0,6521.65,6072.8,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,27300.0,PE,0.0,0.0,0.0,3150.0,2903.2,24276.05,400.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,23100.0,PE,152.45,155.0,120.0,123.85,123.85,24276.05,39300.0,1175.0,776.0
2024-12-02,NIFTY,2025-02-27,23100.0,CE,0.0,0.0,0.0,1532.3,1681.6,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,26000.0,CE,2.35,2.4,1.6,2.05,2.05,24276.05,490475.0,353525.0,32556.0
2024-12-02,NIFTY,2024-12-05,26000.0,CE,0.85,0.9,0.5,0.6,0.6,24276.05,7767750.0,438650.0,755348.0
2024-12-02,NIFTY,2024-12-19,26000.0,PE,1620.0,1620.0,1620.0,1620.0,1620.0,24276.05,50.0,50.0,2.0
2024-12-02,NIFTY,2029-06-28,26000.0,PE,0.0,0.0,0.0,1391.75,735.85,24276.05,25.0,0.0,0.0
2024-12-02,NIFTY,2026-06-25,26000.0,CE,0.0,0.0,0.0,1490.25,2109.05,24276.05,725.0,0.0,0.0
